Experience Years,Salary
0.6,27868
0.6,31381
0.7,44204
0.8,39551
0.9,25984
1.0,36343
1.0,47232
1.0,35539
1.1,36031
1.2,39825
1.2,31257
1.2,31426
1.3,30202
1.4,42103
1.4,36959
1.6,39842
1.6,54087
1.6,44277
1.8,46191
1.8,43569
1.8,45190
1.9,33960
2.1,47722
2.1,50457
2.1,40887
2.2,48929
2.2,47198
2.2,58698
2.3,48134
2.5,45837
2.5,43366
2.5,50796
2.6,49574
2.8,62794
2.8,54442
2.8,45453
3.0,58249
3.0,56394
3.1,59382
3.2,54619
3.2,66780
3.2,58764
3.2,56184
3.3,79466
3.4,47623
3.4,55712
3.6,61676
3.7,52723
3.8,55538
3.8,53814
3.8,62294
3.9,60743
4.0,66662
4.0,64462
4.0,59450
4.1,59703
4.2,69997
4.2,59947
4.3,60546
4.4,70708
4.5,64388
4.6,74097
4.6,64063
4.7,50202
4.7,64755
4.7,71310
4.9,67392
4.9,66469
4.9,70077
5.0,72849
5.0,60349
5.1,64333
5.1,67560
5.2,75518
5.2,81213
5.2,76344
5.2,77929
5.3,88213
5.4,76754
5.4,64587
5.4,67611
5.6,69755
5.7,74767
5.7,83703
5.8,78851
5.8,85052
5.8,85063
5.9,76969
6.1,88674
6.1,86720
6.5,89412
6.6,97216
6.7,91079
6.7,85048
6.8,84262
6.9,95688
7.1,92528
7.3,93661
7.6,97903
7.7,94230
7.7,100292
7.7,90675
7.8,102877
7.9,97144
7.9,104022
7.9,94013
8.0,102685
8.0,94142
8.0,117321
8.1,112542
8.1,97427
8.2,97966
8.3,103976
8.3,95234
8.4,103379
8.4,106946
8.6,104692
8.6,103317
9.1,115020
9.1,115204
9.2,108113
9.2,115490
9.2,106551
9.3,118227
9.3,106924
9.4,113837
9.5,111340
9.7,126944
9.7,122264
9.7,118542
9.7,124982
9.7,123344
9.7,122031
9.9,125998
10.1,121872
10.1,119021
10.2,125182
10.3,117940
10.4,121120
10.5,128494
10.7,127035
10.7,122913
10.8,132794
10.8,132322
11.0,125189
11.1,123983
11.1,126479
11.1,132208
11.1,137042
11.5,133036
11.5,127048
11.5,138897
11.7,142472
11.7,133300
11.7,140267
11.7,131858
11.8,145952
11.9,146771
12.1,140441
12.2,138259
12.2,133413
12.2,147878
12.2,140463
12.3,144327
12.3,148383
12.4,143218
12.5,141858
12.6,150480
12.6,142838
13.0,148773
13.0,146188
13.1,153389
13.1,140869
13.2,149517
13.4,160947
13.4,147544
13.4,154165
13.5,147623
13.5,150208
13.5,153311
13.5,151969
13.6,151373
13.7,162751
13.7,159633
13.7,157461
13.9,160132
13.9,162900
14.0,156484
14.1,150683
14.1,158876
14.2,158989
14.3,162243
14.3,165134
14.5,159213
14.5,165589
14.6,158775
14.6,160741
14.6,170198
14.8,154396
14.8,173265
